Nom,P%,E_Gpa,P,Er,material
1,22.36,95,0.2236,0.463414634,ACrL
2,15.25,130,0.1525,0.634146341,ACrL
3,12.96,143,0.1296,0.697560976,ACrL
4,10.8,155,0.108,0.756097561,ACrL
5,9.53,165,0.0953,0.804878049,ACrL
6,21.09,102,0.2109,0.497560976,ACrL
7,14.36,137,0.1436,0.668292683,ACrL
8,11.82,152,0.1182,0.741463415,ACrL
9,9.66,163,0.0966,0.795121951,ACrL
10,8.39,173,0.0839,0.843902439,ACrL
11,19.31,117,0.1931,0.570731707,ACrL
12,12.71,150,0.1271,0.731707317,ACrL
13,10.55,160,0.1055,0.780487805,ACrL
14,8.89,168,0.0889,0.819512195,ACrL
15,7.75,178,0.0775,0.868292683,ACrL
16,24.81,84,0.2481,0.409756098,ACrM
17,17.3,120,0.173,0.585365854,ACrM
18,14.38,130,0.1438,0.634146341,ACrM
19,12.21,147,0.1221,0.717073171,ACrM
20,10.81,155,0.1081,0.756097561,ACrM
21,23.54,95,0.2354,0.463414634,ACrM
22,16.03,130,0.1603,0.634146341,ACrM
23,13.23,145,0.1323,0.707317073,ACrM
24,11.07,155,0.1107,0.756097561,ACrM
25,9.41,162,0.0941,0.790243902,ACrM
26,21.88,104,0.2188,0.507317073,ACrM
27,15.01,137,0.1501,0.668292683,ACrM
28,12.21,150,0.1221,0.731707317,ACrM
29,10.05,160,0.1005,0.780487805,ACrM
30,8.65,167,0.0865,0.814634146,ACrM
