nom,pho,porosity,E
1,6.7298873,0.143780242,135.586
2,6.666999332,0.151781256,135.0563333
3,6.740977604,0.142369262,136.0633333
4,6.731806277,0.143536097,135.6126667
5,6.744366205,0.141938142,137.0586667
6,6.722138725,0.144766065,135.1486667
7,6.859911797,0.127237685,147.0853333
8,6.860670394,0.127141171,144.4503333
9,6.900874945,0.122026088,146.9226667
10,6.904472314,0.121568408,147.142
11,6.890642127,0.123327974,146.8636667
12,6.895387001,0.1227243,146.9926667
13,7.011718301,0.10792388,157.014
14,7.026998858,0.105979789,156.82
15,7.02368873,0.106400925,156.8033333
16,7.022989212,0.106489922,157.301
17,7.029683355,0.10563825,156.5453333
18,7.022820929,0.106511332,156.8503333
